regid,geom
7ff4821b-d617-40f8-8983-82b1e329990c,"{""type"": ""Point"", ""coordinates"": [-73.90027642250062, 40.87984054074003]}"
954878f1-1928-4917-b662-4bccaa8ac0e8,"{""type"": ""Point"", ""coordinates"": [-73.89422144042328, 40.77010250057527]}"
a9450ad9-782b-42dd-a631-32d5ee7bee3f,"{""type"": ""Point"", ""coordinates"": [-73.91831696033479, 40.760792978416774]}"
64654b29-f69a-4e3e-bde9-90de46239529,"{""type"": ""LineString"", ""coordinates"": [[-73.94202232360841, 40.70081290280357], [-73.90537261962892, 40.68005221171982]]}"
6fe84839-fed4-4374-a030-d28fe2cc95ea,"{""type"": ""Point"", ""coordinates"": [-74.08641099929811, 40.63526292818082]}"
756acda5-623c-498c-927a-9f4a598296c8,"{""type"": ""Point"", ""coordinates"": [-73.85167479515077, 40.723213686144184]}"
ee283de2-e835-4e94-9371-465cb6d9a6d6,"{""type"": ""Point"", ""coordinates"": [-73.96690249443056, 40.695318294477865]}"
3a484c9f-c889-48dd-8b00-910ca795b27a,"{""type"": ""Point"", ""coordinates"": [-73.94509699428455, 40.83426163805452]}"
efa75496-5a0b-48fe-a1c9-7146b3ec9c02,"{""type"": ""Point"", ""coordinates"": [-73.90708386898042, 40.77160843143314]}"
7d03bf4f-0f90-4c22-b71a-8aa604b7982a,"{""type"": ""Point"", ""coordinates"": [-73.97246003150941, 40.68580435185862]}"
9a55fa91-28f9-4688-9930-d69b3f81d143,"{""type"": ""Point"", ""coordinates"": [-73.82169842720033, 40.695005116621786]}"
0972dc4f-a0bb-488b-9024-ec2e02536c12,"{""type"": ""Point"", ""coordinates"": [-73.93088046927006, 40.85191728373825]}"
e89ac338-1045-4651-8694-c2713f7ccc51,"{""type"": ""Point"", ""coordinates"": [-73.85636866092683, 40.8575250020921]}"
e8159b40-374b-4ee9-a80c-502e152ad0f4,"{""type"": ""Point"", ""coordinates"": [-74.10211265087129, 40.644315994469075]}"
b6bdff54-a48e-4797-8c0c-df93daba28f7,"{""type"": ""Point"", ""coordinates"": [-73.99952352046968, 40.733661282960725]}"
d6b6ba65-dee5-47c2-8b4f-4cc90d5bbd6e,"{""type"": ""Point"", ""coordinates"": [-74.01611851528287, 40.70660294748285]}"
f8e5d6df-82c4-49be-92c5-3a1618ec9365,"{""type"": ""Polygon"", ""coordinates"": [[[-73.95387284690516, 40.57735384790673], [-73.95376432221384, 40.57736167844798], [-73.95366669399665, 40.57686935525857], [-73.95378259476276, 40.576857911761145], [-73.95387284690516, 40.57735384790673]]]}"
faff64ae-9e5f-4230-b583-cb06f1f82d58,"{""type"": ""Point"", ""coordinates"": [-73.8648032443598, 40.88951322596883]}"
14951b65-2cab-4edb-8deb-ecb3f3be0678,"{""type"": ""Point"", ""coordinates"": [-73.76144528388978, 40.747557702778714]}"
e539e2eb-93d6-4d1f-93e5-aecac3aef906,"{""type"": ""LineString"", ""coordinates"": [[-74.0046787261963, 40.66088025198849], [-74.01231765747072, 40.65352248500998]]}"
0b58030e-5bb4-435e-8a8b-d7c6ea225a83,"{""type"": ""LineString"", ""coordinates"": [[-73.97345781326295, 40.763649371644135], [-73.97035717964174, 40.76234917942164]]}"
41fceb84-7d18-476c-82e2-493f7b612ac6,"{""type"": ""LineString"", ""coordinates"": [[-73.91553999390455, 40.85052522225311], [-73.91945136711001, 40.84775854300505]]}"
38c63824-3358-4d31-95e6-350863ff9fe2,"{""type"": ""Point"", ""coordinates"": [-73.90845179557802, 40.813520970441054]}"
389b5391-d545-43ec-9bd3-68b94d5e1e8f,"{""type"": ""Point"", ""coordinates"": [-73.90469133853914, 40.727360399481135]}"
ca38ab94-9f26-44ee-8f2f-62f7d1637262,"{""type"": ""Point"", ""coordinates"": [-74.00614989688621, 40.72907622664157]}"
875a3b2d-aa7c-4db5-9c09-f4fe62e44be2,"{""type"": ""Point"", ""coordinates"": [-74.02887225151063, 40.648227483605126]}"
17ccea1d-96e4-4ad4-a89a-01fa85428162,"{""type"": ""LineString"", ""coordinates"": [[-74.15760755538942, 40.61435965977058], [-74.15544033050539, 40.608479182296605]]}"
5cc65569-a347-4ce3-ae40-0024f10c90da,"{""type"": ""Point"", ""coordinates"": [-73.85752201080324, 40.75958618649847]}"
015e2f15-b938-4208-a3c2-afaa9cf8c189,"{""type"": ""LineString"", ""coordinates"": [[-73.77965211868288, 40.685389433327266], [-73.77499580383302, 40.68698400808039]]}"
277392aa-e5ab-4390-ad25-20db1af7fa31,"{""type"": ""LineString"", ""coordinates"": [[-73.89971929835157, 40.64532056770337], [-73.89907108386979, 40.64475069342575]]}"
c98dd7ab-58f4-4669-9897-a324b023e81e,"{""type"": ""Point"", ""coordinates"": [-73.8748598098755, 40.771039668589026]}"
4408a421-b3d2-4e2b-9d2c-a7ac35b2318d,"{""type"": ""Point"", ""coordinates"": [-73.86553645133974, 40.76676160346336]}"
2f2a7593-8afc-4601-8b3b-6597b7eb8fb0,"{""type"": ""Point"", ""coordinates"": [-73.85113835334779, 40.67104468116939]}"
e1bcb24f-ab6f-45e2-ae81-0170d9cd8d94,"{""type"": ""Point"", ""coordinates"": [-73.89548599720003, 40.66468497353673]}"
c759a565-cc84-4c2e-852d-d9c40cff3ab1,"{""type"": ""Point"", ""coordinates"": [-74.01385188102724, 40.70688450756684]}"
0b0e25ca-88bf-4a5c-a26a-b733882a5dc6,"{""type"": ""LineString"", ""coordinates"": [[-73.80769193172456, 40.67839237886016], [-73.80751490592958, 40.676476196885545]]}"
86e1e289-1dbd-4573-be4b-4d05e06a5d4b,"{""type"": ""LineString"", ""coordinates"": [[-73.89971929835157, 40.64532056770337], [-73.89907108386979, 40.64475069342575]]}"
48015606-c4c8-4c83-9661-66eb7cc25be3,"{""type"": ""LineString"", ""coordinates"": [[-73.95515441894533, 40.79951651608128], [-73.93515586853029, 40.82725456465587]]}"
d97e0f5e-9aa4-4747-beb6-6805c32cbbd1,"{""type"": ""Point"", ""coordinates"": [-73.74858140945436, 40.76871581553062]}"
